zeitstempel;humidity
2024-06-11 09:29:15.580411;44.00
2024-06-11 09:29:16.086172;44.00
2024-06-11 09:29:16.598439;44.00
2024-06-11 09:29:16.611429;44.00
2024-06-11 09:29:17.623904;44.00
2024-06-11 09:29:18.629194;44.00
2024-06-11 09:29:19.137466;44.00
2024-06-11 09:29:19.645718;44.00
2024-06-11 09:29:20.657135;44.00
2024-06-11 09:29:21.164901;44.00
2024-06-11 09:29:21.673041;44.00
2024-06-11 09:29:22.180756;44.00
2024-06-11 09:29:22.712108;44.00
2024-06-11 09:29:23.720472;44.00
2024-06-11 09:29:24.227763;44.00
2024-06-11 09:29:24.737988;44.10
2024-06-11 09:29:25.745730;44.10
2024-06-11 09:29:26.250916;44.10
2024-06-11 09:29:26.786016;44.10
2024-06-11 09:29:27.294109;44.10
2024-06-11 09:29:27.802033;44.10
2024-06-11 09:29:28.841193;44.10
2024-06-11 09:29:29.350566;44.10
2024-06-11 09:29:29.859241;44.20
2024-06-11 09:29:30.866757;44.20
2024-06-11 09:29:31.375033;44.20
2024-06-11 09:29:31.882235;44.20
2024-06-11 09:29:32.393435;44.20
2024-06-11 09:29:32.901672;44.20
2024-06-11 09:29:33.910340;44.20
2024-06-11 09:29:34.416102;44.20
2024-06-11 09:29:34.924021;44.20
2024-06-11 09:29:35.431692;44.20
2024-06-11 09:29:35.940196;44.20
2024-06-11 09:29:36.952284;44.10
2024-06-11 09:29:37.487775;44.10
2024-06-11 09:29:37.996674;44.10
2024-06-11 09:29:38.518858;44.10
2024-06-11 09:29:39.027295;44.20
2024-06-11 09:29:40.036379;44.20
2024-06-11 09:29:40.544461;44.20
2024-06-11 09:29:41.054794;44.20
2024-06-11 09:29:41.564975;44.50
2024-06-11 09:29:42.073413;44.50
2024-06-11 09:29:42.579082;44.50
2024-06-11 09:29:43.087228;44.50
2024-06-11 09:29:44.096338;44.40
2024-06-11 09:29:44.607773;44.40
2024-06-11 09:29:45.116094;44.40
2024-06-11 09:29:46.123790;44.50
2024-06-11 09:29:46.632095;44.50
2024-06-11 09:29:47.140199;44.50
2024-06-11 09:29:48.149807;44.50
2024-06-11 09:29:48.655150;44.50
2024-06-11 09:29:49.162978;44.50
2024-06-11 09:29:50.171433;44.40
2024-06-11 09:29:50.682434;44.40
2024-06-11 09:29:51.190820;44.40
2024-06-11 09:29:51.702963;44.40
2024-06-11 09:29:52.219071;44.40
2024-06-11 09:29:53.233159;44.40
2024-06-11 09:29:53.741260;44.40
2024-06-11 09:29:54.246530;44.40
2024-06-11 09:29:54.760231;44.40
2024-06-11 09:29:55.768192;44.40
2024-06-11 09:29:56.279673;44.40
2024-06-11 09:29:56.787995;44.50
2024-06-11 09:29:57.295357;44.50
2024-06-11 09:29:58.301276;44.50
2024-06-11 09:29:58.816010;44.50
2024-06-11 09:29:59.323193;44.50
2024-06-11 09:29:59.832596;44.50
2024-06-11 09:30:00.341138;44.50
2024-06-11 09:30:00.850633;44.50
2024-06-11 09:30:01.866696;44.70
2024-06-11 09:30:02.377711;44.70
2024-06-11 09:30:02.885764;44.70
2024-06-11 09:30:03.394120;44.70
2024-06-11 09:30:03.902081;44.80
2024-06-11 09:30:04.923182;44.80
2024-06-11 09:30:05.435883;44.80
2024-06-11 09:30:05.941604;44.80
2024-06-11 09:30:06.451952;44.70
2024-06-11 09:30:06.960255;44.70
2024-06-11 09:30:07.968762;44.70
2024-06-11 09:30:08.474076;44.70
2024-06-11 09:30:08.981480;44.70
2024-06-11 09:30:09.488720;44.70
2024-06-11 09:30:09.997477;44.70
2024-06-11 09:30:11.009391;44.70
2024-06-11 09:30:11.518022;44.70
2024-06-11 09:30:12.026317;44.70
2024-06-11 09:30:12.531320;44.70
2024-06-11 09:30:13.039630;44.70
2024-06-11 09:30:14.048349;44.70
2024-06-11 09:30:14.559327;44.70
2024-06-11 09:30:15.068119;44.70
2024-06-11 09:30:15.575407;44.70
2024-06-11 09:30:16.084022;44.80
2024-06-11 09:30:17.090810;44.80
2024-06-11 09:30:17.599270;44.80
2024-06-11 09:30:18.109016;44.80
2024-06-11 09:30:18.616975;45.10
2024-06-11 09:30:19.125077;45.10
2024-06-11 09:30:19.633451;45.10
2024-06-11 09:30:20.142053;45.10
2024-06-11 09:30:21.153858;45.10
2024-06-11 09:30:21.661960;45.10
2024-06-11 09:30:22.170203;45.10
2024-06-11 09:30:22.677709;45.10
2024-06-11 09:30:23.186144;45.00
2024-06-11 09:30:24.194865;45.00
2024-06-11 09:30:24.703069;45.00
2024-06-11 09:30:25.212094;45.00
2024-06-11 09:30:25.721857;45.10
2024-06-11 09:30:26.239568;45.10
2024-06-11 09:30:26.747372;45.10
2024-06-11 09:30:27.756678;45.10
2024-06-11 09:30:28.262093;45.10
2024-06-11 09:30:28.779629;45.10
2024-06-11 09:30:29.290729;45.10
2024-06-11 09:30:29.802031;45.10
2024-06-11 09:30:30.313308;45.10
2024-06-11 09:30:31.321515;45.10
2024-06-11 09:30:31.829241;45.10
2024-06-11 09:30:32.336104;45.10
2024-06-11 09:30:32.847056;45.00
2024-06-11 09:30:33.354469;45.00
2024-06-11 09:30:33.866598;45.00
2024-06-11 09:30:34.375240;45.00
2024-06-11 09:30:35.384027;45.00
2024-06-11 09:30:35.892160;45.00
2024-06-11 09:30:36.397488;45.00
2024-06-11 09:30:36.904975;45.00
2024-06-11 09:30:37.413435;44.90
2024-06-11 09:30:37.921971;44.90
2024-06-11 09:30:38.933812;44.90
2024-06-11 09:30:39.442198;44.90
2024-06-11 09:30:39.951326;44.90
2024-06-11 09:30:40.456046;44.90
2024-06-11 09:30:40.964483;44.90
2024-06-11 09:30:41.973533;44.90
2024-06-11 09:30:42.484376;44.90
2024-06-11 09:30:42.992373;44.90
2024-06-11 09:30:43.502607;44.90
2024-06-11 09:30:44.010324;44.90
2024-06-11 09:30:45.016500;45.00
2024-06-11 09:30:45.525130;45.00
2024-06-11 09:30:46.033229;45.00
2024-06-11 09:30:46.543512;45.00
2024-06-11 09:30:47.051975;45.00
2024-06-11 09:30:48.060887;45.00
2024-06-11 09:30:48.565642;45.00
2024-06-11 09:30:49.073869;45.00
2024-06-11 09:30:49.582051;45.10
2024-06-11 09:30:50.090424;45.10
2024-06-11 09:30:51.102292;45.10
2024-06-11 09:30:51.610686;45.10
2024-06-11 09:30:52.119746;45.00
2024-06-11 09:30:52.624612;45.00
2024-06-11 09:30:53.132702;45.00
2024-06-11 09:30:53.641413;45.00
2024-06-11 09:30:54.149555;45.00
2024-06-11 09:30:55.163197;45.00
2024-06-11 09:30:55.671397;45.00
2024-06-11 09:30:56.179606;45.00
2024-06-11 09:30:56.684138;45.00
2024-06-11 09:30:57.693601;45.00
2024-06-11 09:30:58.201594;45.00
2024-06-11 09:30:58.710162;45.00
2024-06-11 09:30:59.218537;45.00
2024-06-11 09:30:59.727046;45.00
2024-06-11 09:31:00.234788;45.00
2024-06-11 09:31:01.245942;45.00
2024-06-11 09:31:01.754271;45.00
2024-06-11 09:31:02.259719;45.00
2024-06-11 09:31:02.767977;45.00
2024-06-11 09:31:03.276324;45.00
