zeitstempel;humidity
2024-06-17 16:21:02.464896;55.70
2024-06-17 16:21:02.977466;55.70
2024-06-17 16:21:03.488611;55.70
2024-06-17 16:21:04.499726;55.70
2024-06-17 16:21:05.010950;55.70
2024-06-17 16:21:05.521566;55.70
2024-06-17 16:21:06.032170;55.70
2024-06-17 16:21:06.540527;55.90
2024-06-17 16:21:07.051653;55.90
2024-06-17 16:21:07.567179;55.90
2024-06-17 16:21:08.085354;55.90
2024-06-17 16:21:08.594461;56.10
2024-06-17 16:21:09.112576;56.10
2024-06-17 16:21:09.632589;56.10
2024-06-17 16:21:10.154951;56.10
2024-06-17 16:21:10.673092;56.10
2024-06-17 16:21:11.192503;56.10
2024-06-17 16:21:11.716241;56.10
2024-06-17 16:21:12.750215;56.10
2024-06-17 16:21:13.261020;56.00
2024-06-17 16:21:14.274612;56.00
2024-06-17 16:21:14.812168;56.00
2024-06-17 16:21:15.324027;55.90
2024-06-17 16:21:15.838419;55.90
2024-06-17 16:21:16.346582;55.90
2024-06-17 16:21:16.857330;55.90
2024-06-17 16:21:17.367945;55.90
2024-06-17 16:21:18.380965;55.90
2024-06-17 16:21:18.892735;55.90
2024-06-17 16:21:19.403377;55.90
2024-06-17 16:21:19.914980;56.00
2024-06-17 16:21:20.423332;56.00
2024-06-17 16:21:20.934116;56.00
2024-06-17 16:21:21.444693;56.00
2024-06-17 16:21:21.955693;56.00
2024-06-17 16:21:22.468896;56.00
2024-06-17 16:21:22.981089;56.00
2024-06-17 16:21:23.492000;56.00
2024-06-17 16:21:24.500985;56.00
2024-06-17 16:21:25.011718;56.00
2024-06-17 16:21:25.522278;56.00
2024-06-17 16:21:26.033155;56.00
2024-06-17 16:21:26.546442;56.00
2024-06-17 16:21:27.056633;56.00
2024-06-17 16:21:27.567884;56.00
2024-06-17 16:21:28.078003;56.00
2024-06-17 16:21:28.587526;56.10
2024-06-17 16:21:29.098418;56.10
2024-06-17 16:21:29.609594;56.10
2024-06-17 16:21:30.120702;56.10
2024-06-17 16:21:30.633110;56.10
2024-06-17 16:21:31.144382;56.10
2024-06-17 16:21:31.654863;56.10
2024-06-17 16:21:32.665778;56.10
2024-06-17 16:21:33.176081;56.20
2024-06-17 16:21:34.187907;56.20
2024-06-17 16:21:34.696152;56.20
2024-06-17 16:21:35.206972;56.20
2024-06-17 16:21:36.219282;56.20
2024-06-17 16:21:36.733007;56.20
2024-06-17 16:21:37.244296;56.20
2024-06-17 16:21:37.754850;56.10
2024-06-17 16:21:38.266178;56.10
2024-06-17 16:21:38.779352;56.10
2024-06-17 16:21:39.290155;56.10
2024-06-17 16:21:39.800554;56.20
2024-06-17 16:21:41.311494;56.20
2024-06-17 16:21:41.821618;56.20
2024-06-17 16:21:42.334228;56.20
2024-06-17 16:21:43.345500;56.20
2024-06-17 16:21:43.855850;56.20
2024-06-17 16:21:44.366739;56.20
2024-06-17 16:21:44.876569;56.20
2024-06-17 16:21:45.386686;56.20
2024-06-17 16:21:45.897807;56.20
2024-06-17 16:21:46.405965;56.20
2024-06-17 16:21:46.916823;56.30
2024-06-17 16:21:48.430567;56.30
2024-06-17 16:21:48.940896;56.30
2024-06-17 16:21:49.451802;56.40
2024-06-17 16:21:49.962423;56.40
2024-06-17 16:21:50.483634;56.40
2024-06-17 16:21:51.494980;56.40
2024-06-17 16:21:52.005525;56.50
2024-06-17 16:21:52.534064;56.50
2024-06-17 16:21:53.046581;56.50
2024-06-17 16:21:53.557348;56.50
2024-06-17 16:21:54.075649;56.70
2024-06-17 16:21:55.089413;56.70
2024-06-17 16:21:55.601497;56.70
2024-06-17 16:21:56.113467;56.80
2024-06-17 16:21:57.128706;56.80
2024-06-17 16:21:57.639159;56.80
2024-06-17 16:21:58.160118;56.80
2024-06-17 16:21:58.671591;56.80
2024-06-17 16:21:59.183381;56.80
2024-06-17 16:21:59.695181;56.80
2024-06-17 16:22:00.204641;56.80
2024-06-17 16:22:00.720629;56.70
2024-06-17 16:22:02.246273;56.70
2024-06-17 16:22:02.756517;56.70
2024-06-17 16:22:03.267162;56.60
2024-06-17 16:22:04.281068;56.60
2024-06-17 16:22:04.791752;56.60
2024-06-17 16:22:05.302313;56.60
2024-06-17 16:22:05.813033;56.60
2024-06-17 16:22:06.324304;56.60
2024-06-17 16:22:06.849790;56.60
2024-06-17 16:22:07.360332;56.60
2024-06-17 16:22:07.871895;56.50
2024-06-17 16:22:09.383918;56.50
2024-06-17 16:22:09.894574;56.50
2024-06-17 16:22:10.400144;56.40
2024-06-17 16:22:11.409714;56.40
2024-06-17 16:22:11.914564;56.40
2024-06-17 16:22:12.423247;56.40
2024-06-17 16:22:12.928882;56.30
2024-06-17 16:22:13.435830;56.30
2024-06-17 16:22:13.940466;56.30
2024-06-17 16:22:14.446146;56.30
2024-06-17 16:22:14.953377;56.20
2024-06-17 16:22:15.961651;56.20
2024-06-17 16:22:16.468862;56.20
2024-06-17 16:22:17.488619;56.10
2024-06-17 16:22:17.997883;56.10
2024-06-17 16:22:18.503236;56.10
2024-06-17 16:22:19.509046;56.10
2024-06-17 16:22:20.017023;56.10
2024-06-17 16:22:20.525764;56.10
2024-06-17 16:22:21.032642;56.10
2024-06-17 16:22:21.539530;56.10
2024-06-17 16:22:22.046749;56.20
2024-06-17 16:22:23.050821;56.20
2024-06-17 16:22:23.557616;56.20
2024-06-17 16:22:24.064300;56.10
2024-06-17 16:22:25.088695;56.10
2024-06-17 16:22:25.595473;56.10
2024-06-17 16:22:26.102619;56.10
2024-06-17 16:22:26.608825;56.10
2024-06-17 16:22:27.115918;56.10
2024-06-17 16:22:27.628491;56.10
2024-06-17 16:22:28.649859;56.10
2024-06-17 16:22:29.157511;56.00
2024-06-17 16:22:30.166392;56.00
2024-06-17 16:22:30.674012;56.00
2024-06-17 16:22:31.182485;56.00
2024-06-17 16:22:32.191312;56.00
2024-06-17 16:22:32.697510;56.00
2024-06-17 16:22:33.205237;56.00
2024-06-17 16:22:33.713243;56.00
2024-06-17 16:22:34.221402;56.00
2024-06-17 16:22:34.731206;56.00
2024-06-17 16:22:35.239570;56.00
