zeitstempel;humidity
2024-06-12 10:52:40.332132;37.90
2024-06-12 10:52:40.837407;37.90
2024-06-12 10:52:41.343677;37.90
2024-06-12 10:52:41.848039;38.00
2024-06-12 10:52:42.864699;38.00
2024-06-12 10:52:43.369953;38.00
2024-06-12 10:52:43.873676;38.10
2024-06-12 10:52:44.877261;38.10
2024-06-12 10:52:45.382172;38.10
2024-06-12 10:52:45.888072;38.10
2024-06-12 10:52:46.899775;38.10
2024-06-12 10:52:47.404708;38.10
2024-06-12 10:52:47.911158;38.10
2024-06-12 10:52:48.416910;38.00
2024-06-12 10:52:48.922156;38.00
2024-06-12 10:52:49.427504;38.00
2024-06-12 10:52:49.931257;38.00
2024-06-12 10:52:50.937382;37.70
2024-06-12 10:52:51.443096;37.70
2024-06-12 10:52:51.947441;37.70
2024-06-12 10:52:52.449984;37.70
2024-06-12 10:52:52.954561;37.50
2024-06-12 10:52:53.964109;37.50
2024-06-12 10:52:54.468003;37.50
2024-06-12 10:52:54.973434;37.50
2024-06-12 10:52:55.479067;37.60
2024-06-12 10:52:55.984884;37.60
2024-06-12 10:52:56.490826;37.60
2024-06-12 10:52:56.996399;37.60
2024-06-12 10:52:58.007251;37.40
2024-06-12 10:52:58.513456;37.40
2024-06-12 10:52:59.019910;37.40
2024-06-12 10:52:59.524842;37.40
2024-06-12 10:53:00.532459;37.40
2024-06-12 10:53:01.038485;37.40
2024-06-12 10:53:01.544467;37.40
2024-06-12 10:53:02.048060;37.40
2024-06-12 10:53:02.554160;37.30
2024-06-12 10:53:03.060256;37.30
2024-06-12 10:53:04.068275;37.30
2024-06-12 10:53:04.574237;37.30
2024-06-12 10:53:05.080180;37.20
2024-06-12 10:53:06.084479;37.20
2024-06-12 10:53:06.590402;37.20
2024-06-12 10:53:07.096243;37.20
2024-06-12 10:53:07.602429;37.20
2024-06-12 10:53:08.116587;37.20
2024-06-12 10:53:09.123085;37.20
2024-06-12 10:53:09.629120;37.20
2024-06-12 10:53:10.132996;37.10
2024-06-12 10:53:11.139505;37.10
2024-06-12 10:53:11.645554;37.10
2024-06-12 10:53:12.153702;37.00
2024-06-12 10:53:13.159294;37.00
2024-06-12 10:53:13.664792;37.00
2024-06-12 10:53:14.170613;37.00
2024-06-12 10:53:14.676393;37.00
2024-06-12 10:53:15.188520;37.00
2024-06-12 10:53:15.700686;37.00
2024-06-12 10:53:16.710746;37.00
2024-06-12 10:53:17.216600;37.00
2024-06-12 10:53:17.722518;37.00
2024-06-12 10:53:18.230501;37.00
2024-06-12 10:53:18.736513;37.00
2024-06-12 10:53:19.242188;37.00
2024-06-12 10:53:20.247488;37.00
2024-06-12 10:53:20.752540;37.00
2024-06-12 10:53:21.258778;37.00
2024-06-12 10:53:21.764757;37.00
2024-06-12 10:53:22.273334;37.00
2024-06-12 10:53:23.278605;37.00
2024-06-12 10:53:23.784860;36.90
2024-06-12 10:53:24.289179;36.90
2024-06-12 10:53:24.795230;36.90
2024-06-12 10:53:25.300958;36.90
2024-06-12 10:53:26.309470;36.80
2024-06-12 10:53:26.815826;36.80
2024-06-12 10:53:27.322166;36.80
2024-06-12 10:53:27.826922;36.80
2024-06-12 10:53:28.330918;36.90
2024-06-12 10:53:29.337753;36.90
2024-06-12 10:53:29.843639;36.90
2024-06-12 10:53:30.350607;36.90
2024-06-12 10:53:30.855914;37.20
2024-06-12 10:53:31.362604;37.20
2024-06-12 10:53:32.367000;37.20
2024-06-12 10:53:32.873263;37.20
2024-06-12 10:53:33.379338;37.30
2024-06-12 10:53:33.885139;37.30
2024-06-12 10:53:34.391163;37.30
2024-06-12 10:53:34.897251;37.30
2024-06-12 10:53:35.402635;37.10
2024-06-12 10:53:36.420050;37.10
2024-06-12 10:53:36.926197;37.10
2024-06-12 10:53:37.432055;37.10
2024-06-12 10:53:37.937115;37.20
2024-06-12 10:53:38.943114;37.20
2024-06-12 10:53:39.448977;37.20
2024-06-12 10:53:39.954406;37.20
2024-06-12 10:53:40.457297;37.50
2024-06-12 10:53:40.962217;37.50
2024-06-12 10:53:41.466518;37.50
2024-06-12 10:53:42.474621;37.50
2024-06-12 10:53:42.980766;37.20
2024-06-12 10:53:43.486185;37.20
2024-06-12 10:53:43.990522;37.20
2024-06-12 10:53:44.496558;37.20
2024-06-12 10:53:45.503483;36.90
2024-06-12 10:53:46.011320;36.90
2024-06-12 10:53:46.516693;36.90
2024-06-12 10:53:47.021356;36.90
2024-06-12 10:53:47.527469;36.70
2024-06-12 10:53:48.031325;36.70
2024-06-12 10:53:48.537588;36.70
2024-06-12 10:53:49.544220;36.70
2024-06-12 10:53:50.052286;36.60
2024-06-12 10:53:50.558011;36.60
2024-06-12 10:53:51.062787;36.60
2024-06-12 10:53:51.569186;36.60
2024-06-12 10:53:52.073022;36.50
2024-06-12 10:53:53.079678;36.50
2024-06-12 10:53:53.585615;36.50
2024-06-12 10:53:54.094230;36.50
2024-06-12 10:53:54.599130;36.30
2024-06-12 10:53:55.104997;36.30
2024-06-12 10:53:55.610771;36.30
2024-06-12 10:53:56.614930;36.30
2024-06-12 10:53:57.121177;36.40
2024-06-12 10:53:57.626904;36.40
2024-06-12 10:53:58.134585;36.40
2024-06-12 10:53:58.640289;36.40
2024-06-12 10:53:59.146244;36.30
2024-06-12 10:54:00.152667;36.30
2024-06-12 10:54:00.658474;36.30
2024-06-12 10:54:01.164693;36.30
2024-06-12 10:54:01.670668;36.30
2024-06-12 10:54:02.174345;36.30
2024-06-12 10:54:03.181252;36.30
2024-06-12 10:54:03.687282;36.30
2024-06-12 10:54:04.195770;36.20
