zeitstempel;humidity
2024-06-12 19:38:23.019872;38.60
2024-06-12 19:38:23.528703;38.60
2024-06-12 19:38:24.036822;38.60
2024-06-12 19:38:24.544450;38.60
2024-06-12 19:38:25.050605;38.90
2024-06-12 19:38:26.058388;38.90
2024-06-12 19:38:26.565811;38.90
2024-06-12 19:38:27.074967;38.90
2024-06-12 19:38:28.082632;38.90
2024-06-12 19:38:28.590786;38.90
2024-06-12 19:38:29.122701;38.90
2024-06-12 19:38:29.629797;38.70
2024-06-12 19:38:30.136815;38.70
2024-06-12 19:38:30.643700;38.70
2024-06-12 19:38:31.154062;38.70
2024-06-12 19:38:32.162897;38.60
2024-06-12 19:38:32.670508;38.60
2024-06-12 19:38:33.178248;38.60
2024-06-12 19:38:33.708822;38.60
2024-06-12 19:38:34.240196;38.60
2024-06-12 19:38:34.765391;38.60
2024-06-12 19:38:35.798834;38.60
2024-06-12 19:38:36.306689;38.60
2024-06-12 19:38:36.812215;38.50
2024-06-12 19:38:37.820526;38.50
2024-06-12 19:38:38.330123;38.50
2024-06-12 19:38:38.837014;38.50
2024-06-12 19:38:39.344942;38.40
2024-06-12 19:38:39.854513;38.40
2024-06-12 19:38:40.862776;38.40
2024-06-12 19:38:41.370392;38.40
2024-06-12 19:38:41.877100;38.30
2024-06-12 19:38:42.886059;38.30
2024-06-12 19:38:43.394209;38.30
2024-06-12 19:38:43.901056;38.30
2024-06-12 19:38:44.410038;38.30
2024-06-12 19:38:44.917796;38.30
2024-06-12 19:38:45.925500;38.30
2024-06-12 19:38:46.434850;38.30
2024-06-12 19:38:46.940170;38.50
2024-06-12 19:38:47.947572;38.50
2024-06-12 19:38:48.455380;38.50
2024-06-12 19:38:48.964862;38.50
2024-06-12 19:38:49.471819;39.30
2024-06-12 19:38:49.979847;39.30
2024-06-12 19:38:50.988061;39.30
2024-06-12 19:38:51.494692;39.30
2024-06-12 19:38:52.001512;39.70
2024-06-12 19:38:53.010947;39.70
2024-06-12 19:38:53.518649;39.70
2024-06-12 19:38:54.025886;39.70
2024-06-12 19:38:54.533167;39.40
2024-06-12 19:38:55.039446;39.40
2024-06-12 19:38:56.046820;39.40
2024-06-12 19:38:56.554168;39.40
2024-06-12 19:38:57.061437;39.10
2024-06-12 19:38:58.067311;39.10
2024-06-12 19:38:58.573409;39.10
2024-06-12 19:38:59.080742;39.10
2024-06-12 19:38:59.588929;39.00
2024-06-12 19:39:00.097059;39.00
2024-06-12 19:39:00.605261;39.00
2024-06-12 19:39:01.108464;39.00
2024-06-12 19:39:02.142618;39.00
2024-06-12 19:39:02.650579;39.00
2024-06-12 19:39:03.159398;39.00
2024-06-12 19:39:04.166736;39.00
2024-06-12 19:39:04.674838;39.10
2024-06-12 19:39:05.182120;39.10
2024-06-12 19:39:05.689063;39.10
2024-06-12 19:39:06.196549;39.10
2024-06-12 19:39:07.204609;39.20
2024-06-12 19:39:07.712139;39.20
2024-06-12 19:39:08.219372;39.20
2024-06-12 19:39:08.723469;39.20
2024-06-12 19:39:09.745118;39.20
2024-06-12 19:39:10.253451;39.20
2024-06-12 19:39:10.763650;39.20
2024-06-12 19:39:11.271237;39.10
2024-06-12 19:39:11.779534;39.10
2024-06-12 19:39:12.788361;39.10
2024-06-12 19:39:13.296739;39.10
2024-06-12 19:39:13.804392;39.00
2024-06-12 19:39:14.812229;39.00
2024-06-12 19:39:15.320617;39.00
2024-06-12 19:39:15.828300;39.00
2024-06-12 19:39:16.335813;38.80
2024-06-12 19:39:16.841543;38.80
2024-06-12 19:39:17.349526;38.80
2024-06-12 19:39:17.857714;38.80
2024-06-12 19:39:18.867429;38.80
2024-06-12 19:39:19.876653;38.80
2024-06-12 19:39:20.383790;38.80
2024-06-12 19:39:20.890546;38.70
2024-06-12 19:39:21.898998;38.70
2024-06-12 19:39:22.409343;38.70
2024-06-12 19:39:22.917534;38.70
2024-06-12 19:39:23.424718;38.60
2024-06-12 19:39:23.933470;38.60
2024-06-12 19:39:24.940144;38.60
2024-06-12 19:39:25.448137;38.60
2024-06-12 19:39:25.955943;38.60
2024-06-12 19:39:26.966109;38.60
2024-06-12 19:39:27.473758;38.60
2024-06-12 19:39:27.983083;38.60
2024-06-12 19:39:28.490409;38.60
2024-06-12 19:39:28.997116;38.60
2024-06-12 19:39:30.005529;38.60
2024-06-12 19:39:30.513678;38.60
2024-06-12 19:39:31.021591;38.50
2024-06-12 19:39:32.028444;38.50
2024-06-12 19:39:32.536816;38.50
2024-06-12 19:39:33.045171;38.50
2024-06-12 19:39:33.552721;38.60
2024-06-12 19:39:34.060325;38.60
2024-06-12 19:39:35.067858;38.60
2024-06-12 19:39:35.576186;38.60
2024-06-12 19:39:36.084385;38.70
2024-06-12 19:39:37.092801;38.70
2024-06-12 19:39:37.601029;38.70
2024-06-12 19:39:38.109348;38.70
2024-06-12 19:39:38.616454;38.70
2024-06-12 19:39:39.122433;38.70
2024-06-12 19:39:39.630216;38.70
2024-06-12 19:39:40.137216;38.70
2024-06-12 19:39:41.148086;38.70
2024-06-12 19:39:41.656426;38.70
2024-06-12 19:39:42.164020;38.70
2024-06-12 19:39:43.169829;38.70
2024-06-12 19:39:43.677302;38.90
2024-06-12 19:39:44.185023;38.90
2024-06-12 19:39:44.692770;38.90
2024-06-12 19:39:45.203041;38.90
2024-06-12 19:39:46.212117;39.00
2024-06-12 19:39:46.718278;39.00
2024-06-12 19:39:47.226008;39.00
2024-06-12 19:39:47.733670;39.00
2024-06-12 19:39:48.243987;38.80
2024-06-12 19:39:48.769823;38.80
2024-06-12 19:39:49.790730;38.80
2024-06-12 19:39:50.298257;38.80
2024-06-12 19:39:50.805117;38.60
2024-06-12 19:39:51.813834;38.60
2024-06-12 19:39:52.321458;38.60
2024-06-12 19:39:52.830509;38.60
2024-06-12 19:39:53.336608;38.50
2024-06-12 19:39:53.845757;38.50
2024-06-12 19:39:54.851877;38.50
2024-06-12 19:39:55.359814;38.50
2024-06-12 19:39:55.867390;38.50
2024-06-12 19:39:56.875255;38.50
2024-06-12 19:39:57.383319;38.50
2024-06-12 19:39:57.890441;38.50
2024-06-12 19:39:58.397922;38.40
2024-06-12 19:39:58.904280;38.40
2024-06-12 19:39:59.912720;38.40
2024-06-12 19:40:00.420525;38.40
2024-06-12 19:40:00.929236;38.30
2024-06-12 19:40:01.936202;38.30
2024-06-12 19:40:02.444092;38.30
2024-06-12 19:40:02.952093;38.30
2024-06-12 19:40:03.459464;38.30
2024-06-12 19:40:03.967150;38.30
2024-06-12 19:40:04.974086;38.30
2024-06-12 19:40:05.482232;38.30
2024-06-12 19:40:05.990345;38.30
2024-06-12 19:40:06.997979;38.30
2024-06-12 19:40:07.505588;38.30
2024-06-12 19:40:08.014164;38.30
2024-06-12 19:40:09.019661;38.30
2024-06-12 19:40:09.527593;38.30
2024-06-12 19:40:10.035499;38.30
2024-06-12 19:40:10.542856;38.20
2024-06-12 19:40:11.052683;38.20
2024-06-12 19:40:12.061726;38.20
2024-06-12 19:40:12.569625;38.20
2024-06-12 19:40:13.077136;38.20
2024-06-12 19:40:14.082002;38.20
2024-06-12 19:40:14.590155;38.20
2024-06-12 19:40:15.098066;38.20
2024-06-12 19:40:15.606023;38.20
2024-06-12 19:40:16.114008;38.20
2024-06-12 19:40:16.622055;38.20
2024-06-12 19:40:17.132280;38.20
2024-06-12 19:40:18.140904;38.20
2024-06-12 19:40:18.650344;38.20
2024-06-12 19:40:19.157906;38.20
2024-06-12 19:40:20.167467;38.20
2024-06-12 19:40:20.675047;38.20
2024-06-12 19:40:21.181043;38.20
2024-06-12 19:40:22.187001;38.20
2024-06-12 19:40:22.694863;38.10
2024-06-12 19:40:23.204931;38.10
2024-06-12 19:40:23.712557;38.10
2024-06-12 19:40:24.219660;38.10
2024-06-12 19:40:24.727928;38.10
2024-06-12 19:40:25.750576;38.10
2024-06-12 19:40:26.258617;38.10
2024-06-12 19:40:26.764569;38.10
2024-06-12 19:40:27.269691;38.10
2024-06-12 19:40:27.777595;38.10
2024-06-12 19:40:28.794794;38.10
2024-06-12 19:40:29.303276;38.10
2024-06-12 19:40:29.811260;38.10
2024-06-12 19:40:30.815757;38.10
2024-06-12 19:40:31.322645;38.10
2024-06-12 19:40:31.830120;38.10
2024-06-12 19:40:32.335375;38.10
2024-06-12 19:40:32.843188;38.10
