zeitstempel;humidity
2024-06-19 16:08:45.878994;66.80
2024-06-19 16:08:46.391522;66.80
2024-06-19 16:08:46.903549;66.80
2024-06-19 16:08:47.415228;66.80
2024-06-19 16:08:47.926746;66.90
2024-06-19 16:08:48.437813;66.90
2024-06-19 16:08:48.950244;66.90
2024-06-19 16:08:49.462353;66.90
2024-06-19 16:08:49.973601;66.90
2024-06-19 16:08:50.507745;66.90
2024-06-19 16:08:51.519970;66.90
2024-06-19 16:08:52.031510;66.90
2024-06-19 16:08:52.545441;67.10
2024-06-19 16:08:53.556239;67.10
2024-06-19 16:08:54.067616;67.10
2024-06-19 16:08:54.576347;67.10
2024-06-19 16:08:55.588780;67.30
2024-06-19 16:08:56.096499;67.30
2024-06-19 16:08:56.606026;67.30
2024-06-19 16:08:57.112400;67.30
2024-06-19 16:08:57.621138;67.30
2024-06-19 16:08:58.129262;67.30
2024-06-19 16:08:58.634808;67.30
2024-06-19 16:08:59.141893;67.30
2024-06-19 16:08:59.649694;67.20
2024-06-19 16:09:00.156998;67.20
2024-06-19 16:09:00.663870;67.20
2024-06-19 16:09:01.671910;67.20
2024-06-19 16:09:02.179119;67.30
2024-06-19 16:09:02.686489;67.30
2024-06-19 16:09:03.693936;67.30
2024-06-19 16:09:04.201879;67.30
2024-06-19 16:09:04.710031;67.50
2024-06-19 16:09:05.718968;67.50
2024-06-19 16:09:06.227360;67.50
2024-06-19 16:09:06.734765;67.50
2024-06-19 16:09:07.743667;67.70
2024-06-19 16:09:08.251264;67.70
2024-06-19 16:09:08.757483;67.70
2024-06-19 16:09:09.265186;67.70
2024-06-19 16:09:09.773034;67.90
2024-06-19 16:09:10.280965;67.90
2024-06-19 16:09:10.791151;67.90
2024-06-19 16:09:11.299259;67.90
2024-06-19 16:09:11.807557;67.80
2024-06-19 16:09:12.316137;67.80
2024-06-19 16:09:12.822813;67.80
2024-06-19 16:09:13.333888;67.80
2024-06-19 16:09:13.839363;67.60
2024-06-19 16:09:14.348618;67.60
2024-06-19 16:09:15.356941;67.60
2024-06-19 16:09:15.865060;67.60
2024-06-19 16:09:16.370944;67.50
2024-06-19 16:09:17.376577;67.50
2024-06-19 16:09:17.884780;67.50
2024-06-19 16:09:18.394466;67.50
2024-06-19 16:09:19.404136;67.50
2024-06-19 16:09:19.911685;67.50
2024-06-19 16:09:20.420027;67.50
2024-06-19 16:09:20.927530;67.50
2024-06-19 16:09:21.436307;67.30
2024-06-19 16:09:21.944233;67.30
2024-06-19 16:09:22.462968;67.30
2024-06-19 16:09:22.983838;67.30
2024-06-19 16:09:23.502683;67.20
2024-06-19 16:09:24.026526;67.20
2024-06-19 16:09:24.552609;67.20
2024-06-19 16:09:25.573502;67.20
2024-06-19 16:09:26.081792;67.20
2024-06-19 16:09:26.588395;67.20
2024-06-19 16:09:27.595619;67.20
2024-06-19 16:09:28.103147;67.20
2024-06-19 16:09:28.613118;67.20
2024-06-19 16:09:29.622195;67.20
2024-06-19 16:09:30.130338;67.20
2024-06-19 16:09:30.638332;67.20
2024-06-19 16:09:31.646023;67.00
2024-06-19 16:09:32.153805;67.00
2024-06-19 16:09:32.660343;67.00
2024-06-19 16:09:33.168493;67.00
2024-06-19 16:09:33.676243;66.80
2024-06-19 16:09:34.184485;66.80
2024-06-19 16:09:34.694801;66.80
2024-06-19 16:09:35.203157;66.80
2024-06-19 16:09:35.711272;66.70
2024-06-19 16:09:36.219430;66.70
2024-06-19 16:09:36.725585;66.70
2024-06-19 16:09:37.734623;66.70
2024-06-19 16:09:38.244115;66.60
2024-06-19 16:09:38.753109;66.60
2024-06-19 16:09:39.761861;66.60
2024-06-19 16:09:40.270745;66.60
2024-06-19 16:09:40.776522;66.50
2024-06-19 16:09:41.284424;66.50
2024-06-19 16:09:41.800233;66.50
2024-06-19 16:09:42.327719;66.50
2024-06-19 16:09:43.353977;66.50
2024-06-19 16:09:43.862585;66.50
2024-06-19 16:09:44.369586;66.50
2024-06-19 16:09:44.874546;66.50
2024-06-19 16:09:45.880690;66.40
2024-06-19 16:09:46.391266;66.40
2024-06-19 16:09:46.898673;66.40
2024-06-19 16:09:47.407681;66.40
2024-06-19 16:09:47.915450;66.40
2024-06-19 16:09:48.421011;66.40
2024-06-19 16:09:48.928971;66.40
2024-06-19 16:09:49.438899;66.40
2024-06-19 16:09:50.447060;66.40
2024-06-19 16:09:50.953836;66.40
2024-06-19 16:09:51.461899;66.40
2024-06-19 16:09:51.969111;66.40
2024-06-19 16:09:52.476218;66.50
2024-06-19 16:09:52.984819;66.50
2024-06-19 16:09:53.492918;66.50
2024-06-19 16:09:53.999005;66.50
2024-06-19 16:09:54.509607;66.40
2024-06-19 16:09:55.521524;66.40
2024-06-19 16:09:56.031713;66.40
2024-06-19 16:09:56.539999;66.40
2024-06-19 16:09:57.048893;66.40
2024-06-19 16:09:57.557651;66.40
2024-06-19 16:09:58.564350;66.40
2024-06-19 16:09:59.072796;66.40
2024-06-19 16:09:59.580522;66.40
2024-06-19 16:10:00.590452;66.40
2024-06-19 16:10:01.098582;66.40
2024-06-19 16:10:01.606668;66.40
2024-06-19 16:10:02.614402;66.40
2024-06-19 16:10:03.122034;66.40
2024-06-19 16:10:03.629916;66.40
2024-06-19 16:10:04.138069;66.40
2024-06-19 16:10:04.648059;66.40
2024-06-19 16:10:05.156399;66.40
2024-06-19 16:10:05.665143;66.40
2024-06-19 16:10:06.172990;66.40
2024-06-19 16:10:06.679335;66.30
2024-06-19 16:10:07.187554;66.30
2024-06-19 16:10:07.695522;66.30
2024-06-19 16:10:08.706203;66.30
2024-06-19 16:10:09.214561;66.30
2024-06-19 16:10:09.722750;66.30
2024-06-19 16:10:10.730618;66.30
2024-06-19 16:10:11.239835;66.30
2024-06-19 16:10:11.747709;66.30
2024-06-19 16:10:12.755211;66.30
2024-06-19 16:10:13.263553;66.30
2024-06-19 16:10:13.771870;66.30
2024-06-19 16:10:14.279813;66.20
2024-06-19 16:10:14.811216;66.20
2024-06-19 16:10:15.335610;66.20
2024-06-19 16:10:15.856950;66.20
2024-06-19 16:10:16.875999;66.20
2024-06-19 16:10:17.384253;66.20
2024-06-19 16:10:17.892599;66.20
2024-06-19 16:10:18.402635;66.20
2024-06-19 16:10:18.910614;66.20
2024-06-19 16:10:19.419882;66.20
2024-06-19 16:10:19.927780;66.20
2024-06-19 16:10:20.436070;66.20
2024-06-19 16:10:20.944135;66.20
2024-06-19 16:10:21.452188;66.20
2024-06-19 16:10:22.460322;66.20
2024-06-19 16:10:22.968096;66.20
2024-06-19 16:10:23.474465;66.20
2024-06-19 16:10:24.483211;66.20
2024-06-19 16:10:24.990686;66.20
2024-06-19 16:10:25.499042;66.20
2024-06-19 16:10:26.508116;66.20
2024-06-19 16:10:27.016326;66.20
2024-06-19 16:10:27.523117;66.20
2024-06-19 16:10:28.030480;66.20
2024-06-19 16:10:28.537500;66.20
2024-06-19 16:10:29.046111;66.20
2024-06-19 16:10:29.553718;66.20
2024-06-19 16:10:30.061044;66.20
2024-06-19 16:10:30.571620;66.20
2024-06-19 16:10:31.079174;66.20
2024-06-19 16:10:31.587109;66.20
2024-06-19 16:10:32.595695;66.20
2024-06-19 16:10:33.104140;66.20
2024-06-19 16:10:33.611251;66.20
2024-06-19 16:10:34.617116;66.20
2024-06-19 16:10:35.125377;66.20
2024-06-19 16:10:35.633621;66.20
2024-06-19 16:10:36.644303;66.20
2024-06-19 16:10:37.152732;66.20
2024-06-19 16:10:37.660762;66.20
2024-06-19 16:10:38.666342;66.20
